map_id,sg_idx,start,goal,astar_operation,astar_storage,astar_length,llmastar_operation,llmastar_storage,llmastar_length,original_llmastar_operation,original_llmastar_storage,original_llmastar_length,fallback,operation_ratio,storage_ratio,length_ratio
0,0,"[5, 5]","[20, 20]",468,450,42.727922061357845,335,339,42.727922061357845,335,339,42.727922061357845,False,0.7158119658119658,0.7533333333333333,1.0
0,1,"[39, 22]","[3, 14]",343,411,40.14213562373095,1251,1037,44.97056274847712,1251,1037,44.97056274847712,False,3.6472303206997085,2.5231143552311437,1.1202832646973504
0,2,"[48, 4]","[44, 27]",449,423,43.52691193458117,449,423,43.52691193458117,0,0,0.0,True,1.0,1.0,1.0
0,3,"[22, 12]","[5, 5]",735,722,48.727922061357845,670,582,48.72792206135785,670,582,48.72792206135785,False,0.9115646258503401,0.8060941828254847,1.0000000000000002
0,4,"[5, 5]","[27, 15]",218,237,28.485281374238575,327,300,28.48528137423857,327,300,28.48528137423857,False,1.5,1.2658227848101267,0.9999999999999999
0,5,"[9, 3]","[47, 28]",443,450,49.52691193458118,443,450,49.52691193458118,0,0,0.0,True,1.0,1.0,1.0
0,6,"[20, 20]","[47, 13]",445,462,34.72792206135786,1178,1116,34.72792206135786,1178,1116,34.72792206135786,False,2.647191011235955,2.4155844155844157,1.0
0,7,"[20, 20]","[5, 5]",812,722,42.727922061357845,701,584,42.72792206135785,701,584,42.72792206135785,False,0.8633004926108374,0.8088642659279779,1.0000000000000002
0,8,"[20, 6]","[40, 25]",76,159,29.041630560342625,735,722,29.041630560342625,735,722,29.041630560342625,False,9.671052631578947,4.540880503144654,1.0
0,9,"[3, 27]","[28, 8]",757,552,39.89949493661165,821,539,39.89949493661166,821,539,39.89949493661166,False,1.084544253632761,0.9764492753623188,1.0000000000000002
